review,sentiment
"Such a joyous world has been created for us in Pixar's A Bug's Life; we're immersed in a universe which could only be documented this enjoyably on film, but more precisely a universe which could only be documented through the world of animation. For those who have forgotten what a plentiful and exuberant world animation can offer  when it's in the right hands that is  A Bug's Life is a warm reminder. We walk out of the film with an equally-warm feeling, and a sense of satisfaction derivative of only high-calibre film productions.<br /><br />It is only Pixar's second animated feature. The sub-group of Disney made their spectacular debut and perhaps entirely inadvertent mark on the film world three years prior in 1995, with their landmark movie Toy Story. It was a movie which defied convention, re-invented and breathed new life into animation and defined a whole new level of excellence. Now, they return with their sophomore effort which, to be honest, draws a creeping sense of cynicism in us all prior to seeing the film.<br /><br />After all, it's a film about ants. Well, all walks of the insect and bug world are covered in A Bug's Life, but it is the ant which is the focal point in this film, as humans are the focal point in dramas, romances and so on. How can such an insignificant species of animal such as an ant act as the protagonist of a movie, let alone provide the entire premise of a feature film? Surely they jest. However, we forget that in Toy Story, a bunch of toy-box items were able to become the grandest, most inspiring and lovable bunch of animated heroes and villains ever concocted. The guys at Pixar manage to pull off the same feat, and manage to turn a bunch of dirty and miniscule bugs into the most endearing and pleasant gang of vermin you'll probably ever encounter.<br /><br />Not only are they all entirely amiable and likable  there isn't an unpleasant character in sight; even the villains are riveting characters  but they're colourful, they're eclectic, and they're idiosyncratic. And the array of characters is also gargantuan for lack of a better term, only adding the rich layers of distinctiveness already plastered onto A Bug's Life from the beginning. We shall start with our main character, and our hero. His name is Flik (David Foley), and his character is rather generic to say the least. Out of the thousands of faithful and obedient worker ants residing on the lush, beautiful Ant Island, he is the one considered the 'black sheep' of the clan, as seen in the opening moments of the movie when he inadvertently destroys the season's harvest with his antics.<br /><br />The problem arises in the fact that the ants' harvest is for a bunch of greedy grasshoppers led by Hopper (Kevin Spacey), who are eager to continue to assert their wrath and autocracy amongst the puny little ants; when they show up to Ant Island for their annual banquet and see that their offering is gone, they go insane, for lack of a better term. Hopper offers a proposition to save the ants from total extinction at his pack's hands; however, it's a negotiation which is simply impossible to fulfil. The cogs and clockwork in Flik's mind run at full steam now despite his guilt and shame, and he offers to leave Ant Island in search of some mighty bug warriors who can come to the colony's rescue and fight off Hopper and the grasshoppers.<br /><br />If you think about it, A Bug's Life bears some heavy resemblance to the plot line's of Akira Kurosawa's classic Seven Samurai, or the American remake The Magnificent Seven, in which a village of hapless but good-hearted folk are threatened by malevolent and wicked enemies  one lone village-dweller goes in search for help in the big city, finds it and returns to the colony to drive off evil. In A Bug's Life, the help comes in the form of a down-and-out circus troupe who is mistakenly perceived by Flik as warriors in a bar-room brawl.<br /><br />Much amusement comes out of these scenes, and much amusement comes out of these circus troupe bugs. Among them are an erudite stick insect (David Hyde Pierce), a side-splitting obese German caterpillar by the name of Heimlich and a quasi-femme fatale ladybug who's in fact a gritty and masculine ladybug (Dennis Hopper). It's exceedingly enjoyable watching these bugs on-screen, as it is watching the bugs and the insects interact on-screen, as is the entire movie collectively.<br /><br />As I've said, much amusement and mirth comes out of their characters and joyous interactions with one another, which give way to a bevy of hilarious lines, wonderfully suspenseful and riveting situations and overall a dazzling movie. What makes A Bug's Life even better is that the film isn't restricted simply to children as many may perceive it to be, although children would indeed find more entertainment out of this film  the clichéd kid-friendly situations are a bit more abundant than we'd like. However, it's easy to ignore this fault, and it's incredulously easy to enjoy this film.<br /><br />Although A Bug's Life may not reach the dizzying and landmark standards set by its predecessor, this is still a superb movie, and the start of something promising here. Pixar have proved that they're not just a one-hit wonder, but instead a much-gifted and talented group of film artists in Hollywood. They raise the bar endlessly, and when someone always manages to top their standards, it's only always by themselves. What more is there to say about A Bug's Life other than: see it; it's not quite the best which we've seen from the folks at Emeryville, California, but this beats out the lot of its year  and I'll be damned if this isn't the best animated feature of 1998.<br /><br />8.5/10",positive
"Looking at these reviews and seeing all these high ratings leave me to believe that large amounts of red corn syrup will please just about any brain dead idiot. This movie is beyond useless. All the cliché's of a slasher film without any substance. I am sure I could go in to details about the movie but why bother when you can sum it up? Obviously everyone wants Mandy Lane and she apparently wants none of the guys. Throughout the movie you will see this.<br /><br />When she stops being friends to the typical boy trapped in friend-zone loser, he goes ballistic and when she goes on a road trip to the middle of no where (of course) he begins to hunt them one by one. Sounds decent so far right? But what made this movie suck beyond belief is when you find out that not only is her loser friend the killer but she is as well.. The plan was beyond ridiculous. Lets together kill all our friends and then kill each other. They give no reason why they wanted to do this and given Mandy Lane's ""Goody Too Shoes"" demeanor it makes you scratch your head even more as to what is actually motivating these characters to do anything they are doing. It's sad.. this movie had lots of potential but the director or writer apparently can't relate to the audience in anyway.",negative
"Well, sadly, I can't help but feeling a little bit disappointed after my much, much, MUCH-anticipated viewing of ""Just Before Dawn"". Jeff Lieberman is a terrific filmmaker and he can undoubtedly do great things with a tiny budget, but I nevertheless expected to see a far more sadistic and gruesome early 80's slasher. But actually I'm beginning to think that Lieberman isn't the one to blame for this, but WE gorehounds are! It's more than obvious that Lieberman intended to make his take on the backwoods-slasher look like ""Deliverance"" and absolutely NOT like ""Friday the 13th"", which immensely popularized the sub genre one year earlier. The horror and constant sensation of menace doesn't mainly come from the demented maniacs with their machetes, but from the genuinely ominous and isolated Oregon forests where this movie was shot. In case the film seems slow and uneventful, this is only because Lieberman takes his time to introduce the dark woods and eerie mountains as extra characters in his film. We hardly ever see the killers in person, but there always appears to be someone luring from behind the trees or from underneath the mountain lakes. Bearing this in mind, ""Just Before Dawn"" becomes a highly admirable horror effort and actually a lot better than its contemporary blood-soaked colleagues. Amidst a nearly endless selection of gory and sickening slashers, Lieberman successfully puts the emphasis back on tension and character development. The plot revolves on five twenty-something friends heading for a camping vacation in the Oregon woods, where one of them owns a small piece of land. The woods are deserted and, naturally, the campers ignore forest ranger Roy's (George Kennedy!) advise to return back to civilization. Shortly after, they brutally encounter an inbred family of which the twin sons have murderous tendencies. All five main characters are surprisingly likable and convincing! No irritating stereotypes for which you don't feel sympathy anyway, like slutty girls or football jocks. As a result of this ""natural"" character, you automatically cheer for them, even when they eventually almost turn into savages themselves. The sublime camera-work supplies the film with an at times unbearable tension level and Brad Fiedel's chilling electronic score only adds to this effect. ""Just Before Dawn"" is a fine slice of early 80's horror, as long as you don't desire blood to drip from your TV-set.",positive
"This was the next to last film appearance by Jill Ireland, who died of cancer in 1990 after four decades as a well-known actress and producer. Ireland made quite a few waves in the press when she dropped her then-husband David McCallum in 1967, beginning her long relationship with Charles Bronson. It is a great irony that Bronson, probably the all-time leader in number of deaths rendered on-screen, had one of the most enduring marriages in film history.<br /><br />'Assassination' seems to be a movie that was tucked into Cannon's production schedule for the sake of Bronson and Ireland. Ireland was already suffering from cancer-related illnesses in 1987 and you can almost picture the two actors wanting to do 'just one more, for old times' sake.' 'Assassination' is carelessly done as a whole, showing the lack of polish and dwindling funds that would tank Cannon by 1990. But there's a kind of nostalgia value in seeing the couple together one last time and the film makes you wonder what exactly helps a relationship to survive in the chaos that is Hollywood.<br /><br />Bronson plays Jay Killian, a high-ranking Secret Service agent who is assigned to protect the First Lady, Lara Craig (Ireland). The President's wife has a reputation for being difficult, bossing Service agents around and wanting to do things her own way. That all changes, however, when attempts are made on her life and she must journey with Killian by car, train, motorbike, and believe it or not, dune buggy to escape would-be assassins. There is little surprise here, as Killian believes the murderers are part of an inside job, perhaps arranged by the President himself. On the way, Killian and Mrs. Craig develop an unspoken affection for one another in scenes between Bronson and Ireland that are actually very funny.<br /><br />What really gets me is how this film was promoted upon its release and how it's still made to look as a DVD. The original trailer gives you the feeling that 'Assassination' is another cold-hearted Bronson shoot-'em-up. But a lot of this movie - which was rated PG-13, by the way - is in a comic vein, putting it along the lines of a romantic thriller like Bronson and Ireland's western 'From Noon Till Three.' Even the DVD case shows Bronson with a rocket launcher, ready to blow things up. Which he does, but to a lesser degree than his other '80s potboilers.<br /><br />On the whole, 'Assassination' is late Cannon slop work and doesn't really know what kind of film it wants to be. Besides drifting from actioner to romantic thriller and back again, there are serious mistakes in continuity, property values are bottom-of-the-barrel cheap, and the effects are dreadful; many of the explosions seem like matte work rather than being done on location. Robert Ragland, who had shown good composing skills in earlier films, teamed up with Valentine McCallum on a score that is mostly synthesized and better fit for television.<br /><br />Richard Sale's script has real lulus of dialogue, with the conversations between Bronson and Ireland the only bright spot. There is no explanation as to why the First Lady is called 'One Momma' all of a sudden, nor as to why Ireland is left with her British accent when the character is a Wyoming native. Jan Gan Boyd, playing Killian's main assistant, has a kitten-like personality and is badly miscast as a federal agent. Stephen Elliott (a former Tony Award nominee who died in May 2005), Randy Brooks, Erik Stern (as assassin Bracken), and Michael Ansara (Senator Bunsen) are acceptable in their supporting roles.<br /><br />Incidentally, this was the last film directing gig for Peter Hunt, who broke onto the scene with 'On Her Majesty's Secret Service' in 1969 and collaborated with Bronson and Lee Marvin on 'Death Hunt' in 1981. 'Assassination' is available on DVD through MGM Home Entertainment; it is presented in dual widescreen and standard format with three-language subtitles and theatrical trailer.<br /><br />** out of 4",negative
"Spanish horror icon Paul Naschy stars in this, one of his weakest werewolf films... but bear with me for a moment. Most people will be familiar with it under its most common television title, THE FURY OF THE WOLF MAN, and there have been many home video versions of it over the years. If you want to be serious about giving it a fair shot though, the most workable edition I've seen of it goes by the title THE WOLF MAN NEVER SLEEPS, and it's an unedited and complete European version which restores a couple of disturbing scenes and contains the original nude shots which are missing from FURY's print. It is also letterboxed.<br /><br />Naschy plays Waldemar Daninsky, returning home from a trip to Tibet only to find out that he's contracted a werewolf curse and that his wife has been having an affair. He takes care of her and her lover while in animal form, but then becomes a guinea pig for a sexy woman doctor and her female assistant. Apparently, the doc attempts to ""tame"" the werewolf, and there is a very strange sado-masochistic love scene between her and the hairy and fanged Daninsky who is under her trance, at least in the original version. Ultimately we get two werewolves for the price of one as Daninsky battles a she-wolf! <br /><br />The biggest problem with the movie is that the director (according to Naschy's claims) was often drunk, and the results are indeed rather incoherent. When watching THE WOLF MAN NEVER SLEEPS copy, it's not quite as difficult to make out what's going on, though the editing remains atrocious in spots. Worst of all is occasional non-matching footage of Naschy's ravenous werewolf swiped straight from another previous film (LA MARC DEL HOMBRE LOBO, aka ""FRANKENSTEIN'S BLOODY TERROR"") and mixed into this one without any sensible reason! The wolf's clothing changes from black shirt to white and back again, as does his demeanor; one moment the wolf is walking around lethargically in a hypnotic trance from FURY, next he is growling and running around savagely from BLOODY TERROR. Really bizarre.",negative
"For the big thinkers among us, ""The Intruder"" is a maddeningly incoherent movie from France that gives so-called ""art films"" a bad name. The story is something about a bitter old coot, Louis Trebor (Michel Subor), who goes searching in Tahiti for a heart transplant, but beyond that, I have no idea who any of the people in the movie were or why they were doing what they were doing. With no coherent storyline to boast of, the movie loses us early on, though I'm perfectly willing to admit that there might be SOMEBODY out there who actually gets some deep message out of this film. <br /><br />This muddled, snail-paced drama runs a full two hours and five minutes - though I seriously doubt anyone with any kind of a life will still be hanging around by the closing credits.",negative
"Does anyone know what kind of pickup John T drove? I looks like a mid to late 70's Ford. This movie is my favorite as well as my wife's. It was the first memorable movie we saw as a married couple. The pick up is of interest as it is similar to the first truck I drove and recently found another like it. I would like to restore the pick up I have to resemble the on in the movie. Also the music was awesome, and the acting was great. Where and what is the lady who portrayed John's aunt? Also did John have a stunt double for the scene on the tower when he almost fell? Also what year of Mustang did Debra W drive in this show. It looked like a 60's model. Thanks,",positive
"I really liked this film. All three stars(Connery,Fishburne and Underwood) give credible performances;and Harris is enjoyably over the top. The lighting and shot angles in some of Harris' scenes make his face look truly diabolical. The surprising turn of plot at the end makes it interesting. Not a great movie, but an enjoyable one. I gave it 7 of 10.",positive
"I liked SOLINO very much. It is a very heart-rending story of an italian family moving to Germany. And it's an story about brotherly love, hope and disappointment. And the film is never boring. Go and see SOLINO!",positive
"I noticed with some amusement that in the end credits, the Detroit PD is thanked for their participation. The Chief of Police even has one speaking line playing himself (and boy, can you tell he can't act). The reason for the amusement is that in this movie the police shoot first and ask questions later. Not the kind of PR, I would think a police force would want. Other than that, this is your standard cops and robbers film dressed up for the '70's with a racial angle. Alex Rocco is given a thankless role of a lifer cop that can't get ahead and is saddled with a mentally ill wife. He makes up for this by hanging out at the local whorehouse. Hari Rhodes is his dashing partner that has a groovy wardrobe and likes to chase after suspects while wearing a trenchcoat. The movie moves along until the penultimate shootout that makes absolutely no sense (why do people that are only guilty of a robbery, take on a whole police force?). Not only do we see one shootout but since there are four bad guys, we get to see four. Then there is a twist ending that is supposed to leave one guessing what really would have happened but only left me thinking how stupid it was. Seeing that director Arthur Marks was also behind the braindead ""Friday Foster"" and ""Bucktown"", I shouldn't have wondered.",negative
"Unreal !!!!!!!!. After reading the initial reviews posted by alleged reviewers ,I was shocked to find that almost all of the initial reviews, 38 , all rated this film a 10. Upon comparison with other great films, these reviewers felt that the Quick and the Undead is a better film than,The 6th Sense(8.2), Saving Private Ryan(8.4), Lord of the Rings( 8.7),Godfather(9.5), Gladiator(8.1) and Dawn of the Dead ( 7.8) to name a few. Hopefully these shills utilize their next discounted lasik procedure, that they hear of, because it is completely obvious that these reviews have been falsified.<br /><br />I was led to believe that this film featured a unique concept in the genre of Zombie film making. Sadly upon watching the Quick and the Undead , It is obvious that these reviews were generated by people who either were involved in the production, or have a vested interest in the films marketability / financial success. Nothing cements this in my mind more than hearing that a portion of this film was shot in Texas, were, coincidentally allot of the early posting praising the film are from. The Zombie film / Horror B movie culture on a whole is a forgiving group, but this film is sadly beyond any redemption. The characters are recycled,and the plot poor.The film quality was not bad enough to be labeled camcorder,and at least they used a film quality camera . The acting is horrible, the star trying unsuccessfully to come off as a Clint Eastwood wanna be clone. Christ on a Bike !!!!!! Even the lead actor's name is Clint. He was just terrible. The only resemblance to Clint Eastwood, is that the lead is using the ""wood"" from Eastwood's name in his style of acting. The Zombie makeup was above Halloween party quality , but not applied completely to the full undead cast members. Allot of zombies were not made up on their hands. The plot was so hokey that it had me hoping for a power outage, a blemish on the DVD disk, or that the zombies would turn their attention on the director. Maybe the film has worth to some viewers, but not for my hard earned dollar. Luckily I used my free rental coupon to check out this DVD. Maybe this film will be rescued by Nott entertainment ( aptly named) releasing a special collectors DVD, which will tie up loose flaws, and deliver the promised goods??? Some how , I think NOTT !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Lets just hope that their next release , The Flesh Keeper is truly a ""keeper"" of a film ..and not a 5th generation recycled version of The Texas Chainsaw Massacre. Fingers crossed here folks...but only if you care.",negative
"Really, really bad slasher movie. A psychotic person escapes from an asylum. Three years later he kills a sociology professor, end of scene. One semester yesterday later (hey, that's what the title card said) a new sociology professor is at the school. She makes friends with another female sociology professor who works there, and starts dating another professor. The students are all bored, as are we.<br /><br />There are a number of title cards indicating how much time has passed. Scenes are pretty short, and cut to different characters somewhere else, making for little progression of any kind. A lot of scenes involve characters walking and talking, or sitting and talking, and serve little purpose. Despite the passage of time, many of the characters are always wearing the same clothing. Sometimes the unclear passage of time means when we see a body for the second time, we ask ourselves: how long has that body been there? And also, at least one of the dead people don't seem to have been missed by others.<br /><br />The killer manages to kill one person by stabbing her in the breast, another by stabbing him in the crotch, and another by slicing her forehead. Is his knife poisoned or something?<br /><br />The video box cover has a cheerleader: there aren't any in the movie. The rear cover has a photo of someone in a graduation cap and gown menacing a group of women in a dorm room. The central redhead in the photo is in the movie, but nobody ever wears such an outfit, and there is no such scene. The killer is strictly one-on-one.",negative
"The opening scene of this film sets the pace for the entirety of its ninety minutes. The shots are generic, conventional, and of television movie quality. The snow drenched scenery is gorgeous, yet the characters held with in it have a similar quality to that of looking at a photograph of such scenery, the overwhelming feeling being that of distance. Some of the editing is fairly high quality and the work of an veteran professional, the dialogue however is clunky and artificial, having little bearing on 'real' conversations at all seemingly. Any emotional insight is displaced in favour of swearing, which is of course the way in which everyone shows their true feelings. The action is slow and underwhelming, the overall feeling being one of someone trickling cold water over your head, but so slowly that you barely notice, yet eventually you feel pathetic and slightly sorry for yourself for being caught in such a incomprehensible situation.<br /><br />The mixture of genres that the Fessenden has seemingly tried to use; psychological thriller, horror and family drama, although commendable suffers from a serious lack of tension and interesting dialogue. The way in which the husband, wife and child trio interact is particularly unrealistic. The themes of family relationships being played out in haunting setting have been covered countless times before by far superior films, an instant example being that of The Shining (1980). The family unit here are torn by innocuous troubles which are hard to understand or sympathise with considering the relative ambiguity of the script.<br /><br />The family unit is hardly stalked throughout the film, Fessenden playing down the thriller possibilities of the narrative in favour of a slow family drama for the majority of the running time. The 'stalker' figure Otis has few apparent motives for his behaviour and despite being perhaps the most interesting and well acted character is still very underdeveloped. The main characters are empty husks of people who it was extremely hard to relate to, their relationships with each other being particularly void of any sentiment or feeling. Although the ignorance of the Erik per Sullivan's young character by his parents is presumably part of the story, surely any reasonable person would question their son if he allegedly spoke to someone who seemingly doesn't exist? People can accept this film as intelligent because of its relative lack of conventional aspects regarding creature based horror movies but this film fails in respect of whichever genre you wished to pigeonhole it in. You can read deep psychological meanings into every single minute detail of anything if you should so wish to but I think people would be better off over analysing their carpet for some deep emotional meaning, rather than these vacuous sub-human creations.",negative
"Buck's role as The Kahn brings to mind Bob Barker (of The Price is right) running a country the same way he runs his show. But there's lots more to chuckle and snort through in this turkey. Kurt Thomas as the baby-faced ""hero"" displays some considerable acrobatic skills, but not a whit of acting talent whatsoever. There's a few spooky moments (in the Village of Crazies, mostly), and some mildly impressive martial arts sequences. But any given ""Ninja"" movie will give you much more entertainment, and you won't feel as guilty about laughing.",negative
